PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
93436,20191031,TSLA,TESLA INC,314.92001,-0.000286,15
93436,20191101,TSLA,TESLA INC,313.31000,-0.005112,15
93436,20191104,TSLA,TESLA INC,317.47000,0.013278,15
93436,20191105,TSLA,TESLA INC,317.22000,-0.000787,15
93436,20191106,TSLA,TESLA INC,326.57999,0.029506,15
93436,20191107,TSLA,TESLA INC,335.54001,0.027436,15
93436,20191108,TSLA,TESLA INC,337.14001,0.004768,15
93436,20191111,TSLA,TESLA INC,345.09000,0.023581,15
93436,20191112,TSLA,TESLA INC,349.92999,0.014025,15
93436,20191113,TSLA,TESLA INC,346.10999,-0.010916,15
93436,20191114,TSLA,TESLA INC,349.35001,0.009361,15
93436,20191115,TSLA,TESLA INC,352.17001,0.008072,15
93436,20191118,TSLA,TESLA INC,349.98999,-0.006190,15
93436,20191119,TSLA,TESLA INC,359.51999,0.027229,15
93436,20191120,TSLA,TESLA INC,352.22000,-0.020305,15
93436,20191121,TSLA,TESLA INC,354.82999,0.007410,15
93436,20191122,TSLA,TESLA INC,333.04001,-0.061410,15
93436,20191125,TSLA,TESLA INC,336.34000,0.009909,15
93436,20191126,TSLA,TESLA INC,328.92001,-0.022061,15
93436,20191127,TSLA,TESLA INC,331.29001,0.007205,15
93436,20191129,TSLA,TESLA INC,329.94000,-0.004075,15
93436,20191202,TSLA,TESLA INC,334.87000,0.014942,15
93436,20191203,TSLA,TESLA INC,336.20001,0.003972,15
93436,20191204,TSLA,TESLA INC,333.03000,-0.009429,15
93436,20191205,TSLA,TESLA INC,330.37000,-0.007987,15
93436,20191206,TSLA,TESLA INC,335.89001,0.016709,15
93436,20191209,TSLA,TESLA INC,339.53000,0.010837,15
93436,20191210,TSLA,TESLA INC,348.84000,0.027420,15
93436,20191211,TSLA,TESLA INC,352.70001,0.011065,15
93436,20191212,TSLA,TESLA INC,359.67999,0.019790,15
93436,20191213,TSLA,TESLA INC,358.39001,-0.003586,15
93436,20191216,TSLA,TESLA INC,381.50000,0.064483,15
93436,20191217,TSLA,TESLA INC,378.98999,-0.006579,15
93436,20191218,TSLA,TESLA INC,393.14999,0.037362,15
93436,20191219,TSLA,TESLA INC,404.04001,0.027699,15
93436,20191220,TSLA,TESLA INC,405.59000,0.003836,15
93436,20191223,TSLA,TESLA INC,419.22000,0.033605,15
93436,20191224,TSLA,TESLA INC,425.25000,0.014384,15
93436,20191226,TSLA,TESLA INC,430.94000,0.013380,15
93436,20191227,TSLA,TESLA INC,430.38000,-0.001299,15
93436,20191230,TSLA,TESLA INC,414.70001,-0.036433,15
93436,20191231,TSLA,TESLA INC,418.32999,0.008753,15
93436,20200102,TSLA,TESLA INC,430.26001,0.028518,15
93436,20200103,TSLA,TESLA INC,443.01001,0.029633,15
93436,20200106,TSLA,TESLA INC,451.54001,0.019255,15
93436,20200107,TSLA,TESLA INC,469.06000,0.038801,15
93436,20200108,TSLA,TESLA INC,492.14001,0.049205,15
93436,20200109,TSLA,TESLA INC,481.34000,-0.021945,15
93436,20200110,TSLA,TESLA INC,478.14999,-0.006627,15
93436,20200113,TSLA,TESLA INC,524.85999,0.097689,15
93436,20200114,TSLA,TESLA INC,537.91998,0.024883,15
93436,20200115,TSLA,TESLA INC,518.50000,-0.036102,15
93436,20200116,TSLA,TESLA INC,513.48999,-0.009663,15
93436,20200117,TSLA,TESLA INC,510.50000,-0.005823,15
93436,20200121,TSLA,TESLA INC,547.20001,0.071890,15
93436,20200122,TSLA,TESLA INC,569.56000,0.040863,15
93436,20200123,TSLA,TESLA INC,572.20001,0.004635,15
93436,20200124,TSLA,TESLA INC,564.82001,-0.012898,15
93436,20200127,TSLA,TESLA INC,558.02002,-0.012039,15
93436,20200128,TSLA,TESLA INC,566.90002,0.015913,15
93436,20200129,TSLA,TESLA INC,580.98999,0.024854,15
93436,20200130,TSLA,TESLA INC,640.81000,0.102962,15
93436,20200131,TSLA,TESLA INC,650.57001,0.015231,15
93436,20200203,TSLA,TESLA INC,780.00000,0.198949,15
93436,20200204,TSLA,TESLA INC,887.06000,0.137256,15
93436,20200205,TSLA,TESLA INC,734.70001,-0.171758,15
93436,20200206,TSLA,TESLA INC,748.96002,0.019409,15
93436,20200207,TSLA,TESLA INC,748.07001,-0.001188,15
93436,20200210,TSLA,TESLA INC,771.28003,0.031027,15
93436,20200211,TSLA,TESLA INC,774.38000,0.004019,15
93436,20200212,TSLA,TESLA INC,767.28998,-0.009156,15
93436,20200213,TSLA,TESLA INC,804.00000,0.047844,15
93436,20200214,TSLA,TESLA INC,800.03003,-0.004938,15
93436,20200218,TSLA,TESLA INC,858.40002,0.072960,15
93436,20200219,TSLA,TESLA INC,917.41998,0.068756,15
93436,20200220,TSLA,TESLA INC,899.40997,-0.019631,15
93436,20200221,TSLA,TESLA INC,901.00000,0.001768,15
93436,20200224,TSLA,TESLA INC,833.78998,-0.074595,15
93436,20200225,TSLA,TESLA INC,799.90997,-0.040634,15
93436,20200226,TSLA,TESLA INC,778.79999,-0.026390,15
93436,20200227,TSLA,TESLA INC,679.00000,-0.128146,15
93436,20200228,TSLA,TESLA INC,667.98999,-0.016215,15
93436,20200302,TSLA,TESLA INC,743.62000,0.113220,15
93436,20200303,TSLA,TESLA INC,745.51001,0.002542,15
93436,20200304,TSLA,TESLA INC,749.50000,0.005352,15
93436,20200305,TSLA,TESLA INC,724.53998,-0.033302,15
93436,20200306,TSLA,TESLA INC,703.47998,-0.029067,15
93436,20200309,TSLA,TESLA INC,608.00000,-0.135725,15
93436,20200310,TSLA,TESLA INC,645.33002,0.061398,15
93436,20200311,TSLA,TESLA INC,634.22998,-0.017201,15
93436,20200312,TSLA,TESLA INC,560.54999,-0.116172,15
93436,20200313,TSLA,TESLA INC,546.62000,-0.024851,15
93436,20200316,TSLA,TESLA INC,445.07001,-0.185778,15
93436,20200317,TSLA,TESLA INC,430.20001,-0.033410,15
93436,20200318,TSLA,TESLA INC,361.22000,-0.160344,15
93436,20200319,TSLA,TESLA INC,427.64001,0.183877,15
93436,20200320,TSLA,TESLA INC,427.53000,-0.000257,15
93436,20200323,TSLA,TESLA INC,434.29001,0.015812,15
93436,20200324,TSLA,TESLA INC,505.00000,0.162817,15
93436,20200325,TSLA,TESLA INC,539.25000,0.067822,15
93436,20200326,TSLA,TESLA INC,528.15997,-0.020566,15
93436,20200327,TSLA,TESLA INC,514.35999,-0.026128,15
93436,20200330,TSLA,TESLA INC,502.13000,-0.023777,15
93436,20200331,TSLA,TESLA INC,524.00000,0.043554,15
93436,20200401,TSLA,TESLA INC,481.56000,-0.080992,15
93436,20200402,TSLA,TESLA INC,454.47000,-0.056255,15
93436,20200403,TSLA,TESLA INC,480.01001,0.056197,15
93436,20200406,TSLA,TESLA INC,516.23999,0.075478,15
93436,20200407,TSLA,TESLA INC,545.45001,0.056582,15
93436,20200408,TSLA,TESLA INC,548.84003,0.006215,15
93436,20200409,TSLA,TESLA INC,573.00000,0.044020,15
93436,20200413,TSLA,TESLA INC,650.95001,0.136038,15
93436,20200414,TSLA,TESLA INC,709.89001,0.090545,15
93436,20200415,TSLA,TESLA INC,729.83002,0.028089,15
